Restaurant,Meal,price,calories_kcal,protein_g,fat_g,sugar_g,contains_gluten,contains_lactose,diabetic_friendly,vegan ,vegetarian,pescatarian,kosher,halal,contains_nuts,contains_lactose.1,carbs_g,calcium_mg,fiber_mg,cholesterol_mg,potassium_mg,iron_mg,sodium_mg,contains_grains,contains_legumes,contains_bread,contains_dairy,keto_friendly,gaining_weight_diet,loose_weight_diet,gaining_muscle_diet,spicy,fried,grilled ,baked,boiled
Halal Shack,Rice Bowl Halal chicken,13.99,460,35,13,0,0,0,0,0,0,0,0,1,0,0,45,30,1.0,145,80,3.0,815,1,0,0,0,0,0,0,1,0,0,1,0,0
Halal Shack,Rice Bowl Halal beef,13.99,550,17,32,0,0,0,0,0,0,0,0,1,0,0,49,60,1.0,45,340,3.0,755,1,0,0,0,0,1,0,0,0,0,0,0,0
Halal Shack,Rice Bowl mix chicken and beef,13.99,640,32,33,1,0,0,0,0,0,0,0,1,0,0,49,60,1.0,115,340,4.0,1115,1,0,0,0,0,1,0,1,0,0,0,0,0
Halal Shack,Rice Bowl hot bbq chicken,14.99,460,28,12,10,0,0,0,0,0,0,0,1,0,0,55,30,1.0,115,160,3.0,1385,1,0,0,0,0,0,0,1,0,0,1,0,0
Halal Shack,Rice Bowl falafel,14.99,570,12,27,0,0,0,0,1,1,0,0,1,0,0,70,90,1.0,0,380,4.0,435,1,1,0,0,0,1,0,0,0,0,0,0,0
Halal Shack,Rice Bowl crispy chicken,14.99,450,14,18,1,0,0,0,0,0,0,0,1,0,0,53,30,1.0,25,80,2.0,445,1,0,0,0,0,0,0,0,0,1,0,0,0
Halal Shack,fries Bowl Halal chicken,13.99,610,35,31,0,0,0,0,0,0,0,0,1,0,0,42,30,0.0,145,580,2.0,1410,0,0,0,0,0,1,0,1,0,1,1,0,0
Halal Shack,fries Bowl Halal beef,13.99,700,17,50,0,0,0,0,0,0,0,0,1,0,0,46,60,0.0,45,840,2.0,1350,0,0,0,0,0,1,0,0,0,1,0,0,0
Halal Shack,fries Bowl mix chicken and beef,13.99,790,32,51,1,0,0,0,0,0,0,0,1,0,0,46,60,0.0,115,840,3.0,1710,0,0,0,0,0,1,0,1,0,1,0,0,0
Halal Shack,fries Bowl hot bbq chicken,14.99,610,28,30,10,0,0,0,0,0,0,0,1,0,0,52,30,0.0,115,660,2.0,1980,0,0,0,0,0,1,0,1,0,1,1,0,0
Halal Shack,fries Bowl falafel,14.99,720,12,45,0,0,0,0,1,1,0,0,1,0,0,67,90,0.0,0,880,3.0,1030,0,1,0,0,0,1,0,0,0,1,0,0,0
Halal Shack,fries Bowl crispy chicken,14.99,600,14,36,1,0,0,0,0,0,0,0,1,0,0,50,30,0.0,25,580,1.0,1040,0,0,0,0,0,1,0,0,0,1,0,0,0
Halal Shack,Salad Bowl Halal chicken,13.99,205,32,6,0,0,0,1,0,0,0,0,1,0,0,6,20,0.0,145,40,2.0,885,0,0,0,0,1,0,1,0,0,0,1,0,0
Halal Shack,Salad Bowl Halal beef,13.99,295,14,25,0,0,0,1,0,0,0,0,1,0,0,10,50,0.0,45,300,2.0,825,0,0,0,0,1,0,1,0,0,0,0,0,0
Halal Shack,Salad Bowl mix chicken and beef,13.99,385,29,26,1,0,0,1,0,0,0,0,1,0,0,10,50,0.0,115,300,2.0,1185,0,0,0,0,1,0,1,0,0,0,0,0,0
Halal Shack,Salad Bowl hot bbq chicken,14.99,205,25,5,10,0,0,0,0,0,0,0,1,0,0,16,20,0.0,115,120,2.0,1455,0,0,0,0,0,0,1,0,0,0,1,0,0
Halal Shack,Salad Bowl falafel,14.99,315,9,20,0,0,0,0,1,1,0,0,1,0,0,31,80,0.0,0,340,3.0,505,0,1,0,0,0,0,1,0,0,0,0,0,0
Halal Shack,Salad Bowl crispy chicken,14.99,195,11,11,1,0,0,1,0,0,0,0,1,0,0,14,20,0.0,25,40,1.0,515,0,0,0,0,1,0,1,0,0,1,0,0,0
Halal Shack,Humus Bowl Halal chicken,7.99,235,32,8,0,0,0,1,0,0,0,0,1,0,0,5,20,1.0,145,70,2.0,890,0,1,0,0,1,0,1,0,0,0,1,0,0
Halal Shack,Humus Bowl Halal beef,7.99,325,14,27,0,0,0,1,0,0,0,0,1,0,0,9,50,1.0,45,330,2.0,830,0,1,0,0,1,0,1,0,0,0,0,0,0
Halal Shack,Humus Bowl mix chicken and beef,7.99,415,29,28,1,0,0,1,0,0,0,0,1,0,0,9,50,1.0,115,330,3.0,1190,0,1,0,0,1,0,0,1,0,0,0,0,0
Halal Shack,Humus Bowl hot bbq chicken,7.99,235,25,7,10,0,0,0,0,0,0,0,1,0,0,15,20,1.0,115,150,2.0,1460,0,1,0,0,0,0,1,0,0,0,1,0,0
Halal Shack,Humus Bowl falafel,9.05,345,9,22,0,0,0,1,1,1,0,0,1,0,0,30,80,1.0,0,370,3.0,510,0,1,0,0,0,0,1,0,0,0,0,0,0
Halal Shack,Humus Bowl crispy chicken,9.05,225,11,13,1,0,0,1,0,0,0,0,1,0,0,13,20,1.0,25,70,1.0,520,0,1,0,0,1,0,1,0,0,1,0,0,0
